,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,age_bin,edu_bin,marital_bin,race_bin
0,53, Private,97969, HS-grad,12, Married-civ-spouse, Sales, Husband, White, Male,5,0,22, United-States, >50K,31-60,high,married,Non-White
1,31, Private,199747, Bachelors,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1911,50, United-States, >50K,31-60,high,married,Non-White
2,37, Private,305332, Assoc-acdm,10, Separated, Exec-managerial, Unmarried, White, Female,0,1,60, United-States, <=50K,31-60,low,not-married,Non-White
3,54, State-gov,290729, Masters,14, Divorced, Prof-specialty, Unmarried, White, Male,14,0,51, United-States, <=50K,31-60,high,not-married,Non-White
4,24, ?,192711, Some-college,13, Never-married, ?, Own-child, White, Male,0,2,40, United-States, <=50K,<=30,high,not-married,Non-White
5,42, Self-emp-not-inc,231635, Some-college,11, Married-spouse-absent, Transport-moving, Unmarried, Black, Female,0,1,40, United-States, <=50K,31-60,high,married,Non-White
6,60, Self-emp-not-inc,136495, Preschool,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, >50K,31-60,low,married,Non-White
7,22, Private,115071, Bachelors,10, Never-married, Prof-specialty, Own-child, White, Male,1787,0,49, United-States, <=50K,<=30,low,not-married,Non-White
8,36, Private,109422, 7th-8th,10, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,1,50, United-States, >50K,31-60,low,married,Non-White
9,63, Private,252601, 12th,9, Divorced, Sales, Not-in-family, White, Male,0,0,20, Canada, <=50K,61+,low,not-married,Non-White
10,55, Private,361882, Some-college,9, Divorced, Other-service, Own-child, White, Male,0,0,32, United-States, <=50K,31-60,low,not-married,Non-White
11,25, Private,333776, Assoc-voc,9, Never-married, Prof-specialty, Own-child, White, Male,0,0,29, United-States, <=50K,<=30,low,not-married,Non-White
12,40, Private,202352, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
13,78, Local-gov,176548, Bachelors,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female,14073,1818,40, United-States, >50K,61+,low,married,Non-White
14,54, Federal-gov,39368, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,6957,3,47, United-States, >50K,31-60,high,married,Non-White
15,40, Private,222402, 11th,4, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,34, United-States, <=50K,31-60,low,married,Non-White
16,33, Private,335444, Bachelors,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,9, United-States, <=50K,31-60,low,married,Non-White
17,57, Private,177819, Masters,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States, >50K,31-60,high,married,Non-White
18,45, Local-gov,236437, Doctorate,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,14591,0,48, United-States, >50K,31-60,low,married,Non-White
19,41, Private,102096, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States, <=50K,31-60,high,not-married,Non-White
20,23, Private,184746, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,1,40, United-States, <=50K,<=30,low,not-married,Non-White
