,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,age_bin,edu_bin,marital_bin,race_bin
0,46, Private,153888, Bachelors,5, Married-civ-spouse, Adm-clerical, Wife, Black, Male,0,0,61, United-States, >50K,31-60,low,married,Non-White
1,40, Private,248172, HS-grad,9, Divorced, Machine-op-inspct, Other-relative, White, Female,0,0,40, Mexico, <=50K,31-60,low,not-married,Non-White
2,37, Private,206876, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
3,72, ?,182588, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States, <=50K,61+,low,not-married,Non-White
4,18, Private,218622, Some-college,10, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
5,31, Federal-gov,115274, Bachelors,13, Widowed, Exec-managerial, Not-in-family, White, Female,3113,0,49, United-States, <=50K,31-60,high,not-married,Non-White
6,54, Local-gov,59208, 12th,5, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,50, United-States, <=50K,31-60,low,not-married,Non-White
7,53, Private,31503, 10th,11, Married-civ-spouse, Transport-moving, Husband, White, Male,8192,0,40, China, >50K,31-60,high,married,Non-White
8,46, Private,195677, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Female,0,0,35, United-States, <=50K,31-60,low,not-married,Non-White
9,63, Private,207865, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, Asian-Pac-Islander, Female,0,0,40, Philippines, <=50K,61+,low,married,Non-White
10,35, Private,228820, Masters,15, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,0,0,40, United-States, >50K,31-60,high,married,Non-White
11,47, Self-emp-not-inc,193928, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K,31-60,high,married,Non-White
12,31, Private,114443, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,50, United-States, <=50K,31-60,low,not-married,Non-White
13,75, Private,214716, Doctorate,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,59, United-States, <=50K,61+,high,married,Non-White
14,20, Private,199700, Some-college,7, Never-married, Sales, Own-child, White, Male,0,0,32, United-States, <=50K,<=30,low,not-married,Non-White
15,45, Private,199518, Bachelors,11, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States, >50K,31-60,high,married,Non-White
16,55, Self-emp-not-inc,237059, Some-college,4, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, <=50K,31-60,low,married,Non-White
17,53, Private,348693, 12th,4, Divorced, Other-service, Not-in-family, Black, Female,0,0,13, United-States, <=50K,31-60,low,not-married,Non-White
18,24, Private,171981, Some-college,10, Never-married, Transport-moving, Own-child, White, Male,0,0,35, United-States, <=50K,<=30,low,not-married,Non-White
19,56, Private,350276, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Female,0,0,45, United-States, >50K,31-60,high,married,Non-White
20,56, State-gov,177853, Bachelors,14, Married-civ-spouse, Prof-specialty, Wife, White, Male,0,0,58, United-States, >50K,31-60,high,married,Non-White
21,50, Private,135057, Doctorate,16, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States, <=50K,31-60,high,married,Non-White
22,34, Local-gov,25622, 12th,10, Never-married, Adm-clerical, Unmarried, White, Male,0,0,36, Mexico, <=50K,31-60,low,not-married,Non-White
23,26, Private,192020, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White, Female,0,0,20, United-States, <=50K,<=30,low,not-married,Non-White
24,32, Private,448943, HS-grad,12, Never-married, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,0,0,13, United-States, <=50K,31-60,high,not-married,Non-White
25,36, Local-gov,192028, HS-grad,9, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,0,0,20, United-States, <=50K,31-60,low,not-married,Non-White
26,30, Federal-gov,202641, 12th,7, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo, Male,0,0,45, Cuba, >50K,<=30,low,married,Non-White
27,35, Private,115188, Masters,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,62, United-States, >50K,31-60,high,married,Non-White
28,25, Private,417814, HS-grad,5, Divorced, Other-service, Not-in-family, White, Female,0,0,13, Haiti, <=50K,<=30,low,not-married,Non-White
29,42, Private,118883, HS-grad,9, Separated, Craft-repair, Unmarried, White, Female,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
30,69, Self-emp-inc,111544, Masters,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,1710,45, ?, >50K,61+,low,married,Non-White
31,23, Private,229074, Some-college,6, Never-married, Handlers-cleaners, Other-relative, White, Male,0,0,35, United-States, <=50K,<=30,low,not-married,Non-White
32,41, Private,259882, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States, <=50K,31-60,high,not-married,Non-White
33,54, Private,158273, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States, <=50K,31-60,low,not-married,Non-White
34,50, Private,199611, 9th,15, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, India, <=50K,31-60,high,not-married,Non-White
35,19, Private,193368, Some-college,10, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
36,25, Private,52932, Bachelors,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States, >50K,<=30,low,married,Non-White
37,46, Private,144074, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White, Male,0,0,40, United-States, <=50K,31-60,low,married,Non-White
38,55, Private,116528, HS-grad,9, Separated, Craft-repair, Other-relative, White, Female,0,0,64, United-States, <=50K,31-60,low,not-married,Non-White
39,39, Private,33200, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,40, United-States, >50K,31-60,high,married,Non-White
40,28, Private,111086, HS-grad,10, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States, <=50K,<=30,low,not-married,Non-White
41,55, Private,192934, Some-college,3, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,59, United-States, <=50K,31-60,low,married,Non-White
42,58, Private,106352, Bachelors,5, Widowed, Sales, Unmarried, White, Female,0,0,11, United-States, <=50K,31-60,low,not-married,Non-White
43,34, ?,99719, HS-grad,5, Married-civ-spouse, Exec-managerial, Wife, White, Male,0,0,16, United-States, <=50K,31-60,low,married,Non-White
44,18, Private,145766, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,25, United-States, <=50K,<=30,low,not-married,Non-White
45,17, Private,239983, Bachelors,13, Never-married, Exec-managerial, Own-child, White, Female,0,0,40, United-States, <=50K,<=30,high,not-married,Non-White
46,22, Self-emp-not-inc,192592, 12th,9, Separated, Handlers-cleaners, Own-child, White, Male,0,0,58, United-States, <=50K,<=30,low,not-married,Non-White
47,46, State-gov,429682, Doctorate,14, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7146,0,59, United-States, >50K,31-60,high,married,Non-White
48,68, Private,208572, Bachelors,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,58, United-States, >50K,61+,high,married,Non-White
49,21, Private,243266, Bachelors,10, Never-married, Exec-managerial, Own-child, White, Male,0,0,45, United-States, <=50K,<=30,low,not-married,Non-White
50,43, Private,165840, HS-grad,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States, <=50K,31-60,low,married,Non-White
